,Iteration,Fitness,Time,State
0,0,1.0,7.31999999885602e-05,
1,1,1.2830732135331493,0.07903829999999346,
2,10,0.8783373627379795,0.8093027999999975,
3,50,0.8477875289192417,4.004556699999995,
4,100,0.8384747936598628,8.041037499999987,
5,250,0.8297734206794638,15.798362299999994,
6,500,0.8297734206794638,15.798362299999994,
7,1000,0.8297734206794638,15.798362299999994,
8,2500,0.8297734206794638,15.798362299999994,
9,5000,0.8297734206794638,15.798362299999994,
10,10000,0.8297734206794638,15.798362299999994,
